episode,timestamp,total_reward,steps,success,sar,splat,learning_info
1,2025-07-05T00:03:00.392798,0.0,0,False,0.0,inf,{}
2,2025-07-05T00:03:18.152191,0.0,0,False,0.0,inf,{}
3,2025-07-05T00:03:38.368618,0.0,0,False,0.0,inf,{}
4,2025-07-05T00:03:56.448643,0.0,0,False,0.0,inf,{}
5,2025-07-05T00:04:19.096313,0.0,0,False,0.0,inf,{}
6,2025-07-05T00:04:40.266570,0.0,0,False,0.0,inf,{}
7,2025-07-05T00:05:00.558681,0.0,0,False,0.0,inf,{}
8,2025-07-05T00:05:22.615866,0.0,0,False,0.0,inf,{}
9,2025-07-05T00:05:43.132077,0.0,0,False,0.0,inf,{}
10,2025-07-05T00:06:06.814197,0.0,0,False,0.0,inf,{}
